[Start] Exp14 full rebuild based on Exp13 full predictions + external SL/RL
[Config] data_root=/home/wangzhe/DroneP_VG/visdrone_test_100
[Config] exp13_pred_dir=/home/wangzhe/DroneP_VG/experiment/exp13_full_rebuild_20260421/log/predictions
[Config] sw_pred_root=/home/wangzhe/DroneP_VG/experiment/lab9_reproduce_20260421/log/predictions
[Config] split=70/15/15, SL=60 epochs, RL=40 epochs
[SL] epoch=060/60 loss=0.593457 train_acc=0.7600 val_loss=0.743421 val_acc=0.6928
[RL] epoch=001/40 loss=0.024540 reward=0.3960 val_reward=0.3763 val_acc05=0.2126
[RL] epoch=002/40 loss=0.001831 reward=0.3956 val_reward=0.4297 val_acc05=0.2948
[RL] epoch=003/40 loss=-0.006196 reward=0.4091 val_reward=0.4900 val_acc05=0.4684
[RL] epoch=004/40 loss=-0.008637 reward=0.4001 val_reward=0.4885 val_acc05=0.4671
[RL] epoch=005/40 loss=-0.010517 reward=0.4036 val_reward=0.4863 val_acc05=0.4655
[RL] epoch=006/40 loss=-0.012249 reward=0.4026 val_reward=0.4864 val_acc05=0.4472
[RL] epoch=007/40 loss=-0.014898 reward=0.4011 val_reward=0.4838 val_acc05=0.4499
[RL] epoch=008/40 loss=-0.015015 reward=0.4037 val_reward=0.4915 val_acc05=0.4434
[RL] epoch=009/40 loss=-0.016264 reward=0.4025 val_reward=0.4822 val_acc05=0.4586
[RL] epoch=010/40 loss=-0.016581 reward=0.4042 val_reward=0.4782 val_acc05=0.4325
[RL] epoch=011/40 loss=-0.016624 reward=0.4058 val_reward=0.4812 val_acc05=0.4559
[RL] epoch=012/40 loss=-0.017249 reward=0.4052 val_reward=0.4725 val_acc05=0.4186
[RL] epoch=013/40 loss=-0.019095 reward=0.4014 val_reward=0.4683 val_acc05=0.4242
[RL] epoch=014/40 loss=-0.019735 reward=0.4027 val_reward=0.4688 val_acc05=0.4155
[RL] epoch=015/40 loss=-0.018551 reward=0.4045 val_reward=0.4703 val_acc05=0.4247
[RL] epoch=016/40 loss=-0.021351 reward=0.4012 val_reward=0.4644 val_acc05=0.4086
[RL] epoch=017/40 loss=-0.019085 reward=0.4036 val_reward=0.4658 val_acc05=0.4239
[RL] epoch=018/40 loss=-0.022713 reward=0.3965 val_reward=0.4572 val_acc05=0.4009
[RL] epoch=019/40 loss=-0.021397 reward=0.3987 val_reward=0.4632 val_acc05=0.4108
[RL] epoch=020/40 loss=-0.023246 reward=0.3955 val_reward=0.4439 val_acc05=0.3895
[RL] epoch=021/40 loss=-0.022460 reward=0.3946 val_reward=0.4588 val_acc05=0.4158
[RL] epoch=022/40 loss=-0.024562 reward=0.3919 val_reward=0.4167 val_acc05=0.3507
[RL] epoch=023/40 loss=-0.021387 reward=0.4001 val_reward=0.4426 val_acc05=0.3944
[RL] epoch=024/40 loss=-0.026371 reward=0.3857 val_reward=0.4420 val_acc05=0.3929
[RL] epoch=025/40 loss=-0.023172 reward=0.3954 val_reward=0.4507 val_acc05=0.4100
[RL] epoch=026/40 loss=-0.026760 reward=0.3877 val_reward=0.4077 val_acc05=0.3423
[RL] epoch=027/40 loss=-0.023851 reward=0.3941 val_reward=0.4451 val_acc05=0.4029
[RL] epoch=028/40 loss=-0.025744 reward=0.3898 val_reward=0.4349 val_acc05=0.3802
[RL] epoch=029/40 loss=-0.025656 reward=0.3913 val_reward=0.4516 val_acc05=0.4247
[RL] epoch=030/40 loss=-0.027205 reward=0.3894 val_reward=0.4310 val_acc05=0.3788
[RL] epoch=031/40 loss=-0.025642 reward=0.3928 val_reward=0.4437 val_acc05=0.4140
[RL] epoch=032/40 loss=-0.028146 reward=0.3881 val_reward=0.4324 val_acc05=0.3847
[RL] epoch=033/40 loss=-0.026036 reward=0.3923 val_reward=0.4505 val_acc05=0.4167
[RL] epoch=034/40 loss=-0.029203 reward=0.3869 val_reward=0.4199 val_acc05=0.3619
[RL] epoch=035/40 loss=-0.026584 reward=0.3934 val_reward=0.4510 val_acc05=0.4176
[RL] epoch=036/40 loss=-0.027326 reward=0.3912 val_reward=0.4477 val_acc05=0.4095
[RL] epoch=037/40 loss=-0.026767 reward=0.3925 val_reward=0.4081 val_acc05=0.3470
[RL] epoch=038/40 loss=-0.026080 reward=0.3929 val_reward=0.4567 val_acc05=0.4271
[RL] epoch=039/40 loss=-0.029752 reward=0.3885 val_reward=0.3967 val_acc05=0.3331
[RL] epoch=040/40 loss=-0.026507 reward=0.3919 val_reward=0.3855 val_acc05=0.3252
[Search] threshold=0.12 nms=0.40 val_acc05=0.5010 val_map05=0.1565
[Done] trainval=/home/wangzhe/DroneP_VG/experiment/exp14_full_rebuild_20260421/log/evaluation_summary_exp14_full_rebuild_trainval_class_aware.md
[Done] test=/home/wangzhe/DroneP_VG/experiment/exp14_full_rebuild_20260421/log/evaluation_summary_exp14_full_rebuild_test_class_aware.md
[Done] full=/home/wangzhe/DroneP_VG/experiment/exp14_full_rebuild_20260421/log/evaluation_summary_exp14_full_rebuild_full_class_aware.md
[Done] summary=/home/wangzhe/DroneP_VG/experiment/exp14_full_rebuild_20260421/log/exp14_full_rebuild_20260421_summary.json
